date,REJECT,APPLICANT,APPROVED,NTU,ACCEPT
2021-01-01,7,11,4,4,0
2021-01-02,61,103,42,9,33
2021-01-03,42,77,35,8,27
2021-01-04,118,278,160,31,129
2021-01-05,78,203,125,20,105
2021-01-06,85,200,115,25,90
2021-01-07,91,207,116,16,100
2021-01-08,62,152,90,9,81
2021-01-09,40,96,56,7,49
2021-01-10,34,67,33,9,24
2021-01-11,109,215,106,23,83
2021-01-12,88,196,108,24,84
2021-01-13,108,218,110,21,89
2021-01-14,79,186,107,27,80
2021-01-15,77,163,86,13,73
2021-01-16,46,99,53,12,41
2021-01-17,47,81,34,11,23
2021-01-18,110,209,99,15,84
2021-01-19,146,280,134,30,104
2021-01-20,80,213,133,16,117
2021-01-21,86,197,111,13,98
2021-01-22,91,196,105,20,85
2021-01-23,42,87,45,7,38
2021-01-24,40,77,37,3,34
2021-01-25,98,231,133,23,110
2021-01-26,99,205,106,25,81
2021-01-27,98,210,112,17,95
2021-01-28,94,204,110,15,95
2021-01-29,62,165,103,15,88
2021-01-30,55,128,73,10,63
2021-01-31,43,87,44,8,36
2021-02-01,110,206,96,15,81
2021-02-02,176,274,98,18,80
2021-02-03,101,182,81,14,67
2021-02-04,159,271,112,24,88
2021-02-05,84,183,99,14,85
2021-02-06,62,107,45,9,36
2021-02-07,43,70,27,4,23
2021-02-08,109,232,123,21,102
2021-02-09,147,290,143,22,121
2021-02-10,118,235,117,20,97
2021-02-11,84,182,98,17,81
2021-02-12,158,264,106,15,91
2021-02-13,61,115,54,14,40
2021-02-14,50,88,38,11,27
2021-02-15,109,242,133,21,112
2021-02-16,89,210,121,15,106
2021-02-17,115,228,113,17,96
2021-02-18,119,230,111,18,93
2021-02-19,98,200,102,19,83
2021-02-20,54,102,48,12,36
2021-02-21,68,99,31,2,29
2021-02-22,139,275,136,35,101
2021-02-23,92,210,118,20,98
2021-02-24,108,208,100,23,77
2021-02-25,155,268,113,24,89
2021-02-26,110,238,128,21,107
2021-02-27,60,129,69,9,60
2021-02-28,61,120,59,12,47
2021-03-01,129,271,142,25,117
2021-03-02,100,224,124,24,100
2021-03-03,72,129,57,13,44
2021-03-04,106,252,146,23,123
2021-03-05,97,206,109,14,95
2021-03-06,74,140,66,7,59
2021-03-07,57,101,44,10,34
2021-03-08,122,245,123,18,105
2021-03-09,89,212,123,16,107
2021-03-10,79,196,117,15,102
2021-03-11,102,209,107,18,89
2021-03-12,70,185,115,16,99
2021-03-13,64,115,51,10,41
2021-03-14,37,68,31,6,25
2021-03-15,101,227,126,13,113
2021-03-16,130,242,112,23,89
2021-03-17,146,252,106,18,88
2021-03-18,119,224,105,17,88
2021-03-19,102,226,124,14,110
2021-03-20,75,152,77,16,61
2021-03-21,63,92,29,7,22
2021-03-22,135,248,113,19,94
2021-03-23,132,254,122,29,93
2021-03-24,124,240,116,31,85
2021-03-25,121,217,96,18,78
2021-03-26,95,211,116,23,93
2021-03-27,45,115,70,14,56
2021-03-28,49,85,36,9,27
2021-03-29,107,224,117,27,90
2021-03-30,91,198,107,19,88
2021-03-31,71,184,113,21,92
2021-04-01,84,168,84,12,72
2021-04-02,73,179,106,18,88
2021-04-03,60,104,44,4,40
2021-04-04,30,60,30,4,26
2021-04-05,93,197,104,19,85
2021-04-06,78,176,98,22,76
2021-04-07,85,185,100,21,79
2021-04-08,89,197,108,22,86
2021-04-09,78,200,122,16,106
2021-04-10,51,117,66,15,51
2021-04-11,49,94,45,11,34
2021-04-12,93,221,128,25,103
2021-04-13,90,192,102,23,79
2021-04-14,112,216,104,18,86
2021-04-15,77,194,117,18,99
2021-04-16,90,213,123,18,105
2021-04-17,50,117,67,9,58
2021-04-18,48,103,55,6,49
2021-04-19,114,235,121,16,105
2021-04-20,81,223,142,28,114
2021-04-21,104,232,128,26,102
2021-04-22,70,183,113,15,98
2021-04-23,85,227,142,29,113
2021-04-24,47,120,73,11,62
2021-04-25,59,111,52,14,38
2021-04-26,97,256,159,29,130
2021-04-27,109,279,170,41,129
2021-04-28,88,221,133,18,115
2021-04-29,93,248,155,16,139
2021-04-30,55,114,59,13,46
2021-05-01,44,91,47,9,38
2021-05-02,26,36,10,4,6
2021-05-03,55,113,58,12,46
2021-05-04,61,126,65,9,56
2021-05-05,127,258,131,22,109
2021-05-06,58,108,50,8,42
2021-05-07,97,247,150,18,132
2021-05-08,62,128,66,13,53
2021-05-09,52,92,40,6,34
2021-05-10,115,260,145,28,117
2021-05-11,90,203,113,27,86
2021-05-12,101,216,115,21,94
2021-05-13,112,235,123,24,99
2021-05-14,81,190,109,20,89
2021-05-15,41,113,72,14,58
2021-05-16,58,100,42,9,33
2021-05-17,125,259,134,25,109
2021-05-18,87,205,118,17,101
2021-05-19,101,237,136,27,109
2021-05-20,90,226,136,32,104
2021-05-21,79,208,129,27,102
2021-05-22,52,127,75,9,66
2021-05-23,33,72,39,7,32
2021-05-24,51,106,55,12,43
2021-05-25,99,226,127,21,106
2021-05-26,73,188,115,22,93
2021-05-27,128,265,137,31,106
2021-05-28,113,252,139,31,108
2021-05-29,53,128,75,15,60
2021-05-30,54,104,50,14,36
2021-05-31,95,263,168,36,132
2021-06-01,73,208,135,21,114
2021-06-02,82,232,150,23,127
2021-06-03,89,192,103,16,87
2021-06-04,73,173,100,12,88
2021-06-05,56,118,62,12,50
2021-06-06,54,101,47,13,34
2021-06-07,82,225,143,32,111
2021-06-08,94,216,122,27,95
2021-06-09,110,232,122,23,99
2021-06-10,91,214,123,22,101
2021-06-11,91,218,127,19,108
2021-06-12,61,145,84,14,70
2021-06-13,58,90,32,8,24
2021-06-14,97,230,133,31,102
2021-06-15,74,200,126,31,95
2021-06-16,87,199,112,19,93
2021-06-17,69,168,99,19,80
2021-06-18,83,212,129,19,110
2021-06-19,49,136,87,22,65
2021-06-20,41,96,55,17,38
2021-06-21,106,235,129,24,105
2021-06-22,70,184,114,18,96
2021-06-23,84,206,122,23,99
2021-06-24,67,180,113,26,87
2021-06-25,76,206,130,23,107
2021-06-26,50,129,79,16,63
2021-06-27,49,91,42,8,34
2021-06-28,131,256,125,24,101
2021-06-29,108,230,122,23,99
2021-06-30,90,220,130,20,110
2021-07-01,77,194,117,17,100
2021-07-02,81,203,122,15,107
2021-07-03,52,110,58,12,46
2021-07-04,39,76,37,6,31
2021-07-05,90,206,116,27,89
2021-07-06,88,205,117,20,97
2021-07-07,67,183,116,23,93
2021-07-08,94,217,123,19,104
2021-07-09,66,189,123,23,100
2021-07-10,58,122,64,14,50
2021-07-11,36,79,43,3,40
2021-07-12,95,210,115,20,95
2021-07-13,103,240,137,29,108
2021-07-14,71,188,117,23,94
2021-07-15,78,199,121,22,99
2021-07-16,76,202,126,20,106
2021-07-17,52,127,75,20,55
2021-07-18,45,92,47,11,36
2021-07-19,79,215,136,27,109
2021-07-20,73,204,131,16,115
2021-07-21,88,199,111,24,87
2021-07-22,106,235,129,26,103
2021-07-23,89,220,131,22,109
2021-07-24,58,122,64,15,49
2021-07-25,50,94,44,12,32
2021-07-26,112,270,158,36,122
2021-07-27,79,212,133,33,100
2021-07-28,76,200,124,25,99
2021-07-29,91,237,146,39,107
2021-07-30,73,204,131,20,111
2021-07-31,75,138,63,11,52
2021-08-01,43,90,47,11,36
2021-08-02,110,236,126,25,101
2021-08-03,75,209,134,26,108
2021-08-04,79,192,113,15,98
2021-08-05,82,195,113,24,89
2021-08-06,66,167,101,25,76
2021-08-07,63,111,48,5,43
2021-08-08,34,72,38,8,30
2021-08-09,95,229,134,23,111
2021-08-10,101,229,128,33,95
2021-08-11,82,206,124,21,103
2021-08-12,61,185,124,25,99
2021-08-13,69,185,116,22,94
2021-08-14,55,113,58,7,51
2021-08-15,35,68,33,8,25
2021-08-16,82,207,125,26,99
2021-08-17,84,196,112,20,92
2021-08-18,70,196,126,16,110
