date,request,Lended_Amount,Repaid_Amount,Locked_Amount
2021-01-01,14,27238.789999999997,0,27238.789999999997
2021-01-02,122,197584.6600000001,61801.93500000001,135782.7250000001
2021-01-03,97,155801.20000000004,21875.100000000002,133926.10000000003
2021-01-04,343,560918.5900000003,211092.479,349826.1110000003
2021-01-05,250,381123.33000000013,182085.605,199037.72500000012
2021-01-06,245,411213.38999999996,159706.79400000002,251506.59599999993
2021-01-07,258,419374.4800000002,179459.69600000003,239914.7840000002
2021-01-08,188,299577.15,139938.57800000004,159638.572
2021-01-09,114,172504.57000000004,75746.89199999999,96757.67800000004
2021-01-10,79,142879.20999999996,45902.558000000005,96976.65199999996
2021-01-11,275,430309.48,136253.97499999998,294055.505
2021-01-12,250,435680.67,166114.06500000003,269566.605
2021-01-13,256,393139.21,130904.137,262235.07300000003
2021-01-14,218,388851.45,137239.674,251611.776
2021-01-15,197,315527.19000000006,131761.68200000003,183765.50800000003
2021-01-16,119,216444.5,88742.49799999999,127702.00200000001
2021-01-17,106,170767.14999999997,38459.174,132307.97599999997
2021-01-18,261,441886.29000000004,141701.755,300184.53500000003
2021-01-19,347,657221.7900000002,178412.884,478808.9060000002
2021-01-20,257,414899.05000000005,203768.20100000003,211130.84900000002
2021-01-21,236,395745.36999999965,174443.23000000004,221302.1399999996
2021-01-22,236,376454.1599999998,144962.20700000002,231491.95299999978
2021-01-23,107,146343.63000000003,64369.227,81974.40300000003
2021-01-24,95,153865.09999999998,58981.117,94883.98299999998
2021-01-25,272,440180.9599999999,167295.856,272885.10399999993
2021-01-26,245,420050.4400000002,119442.32299999999,300608.1170000002
2021-01-27,234,343164.00999999966,128845.53500000003,214318.47499999963
2021-01-28,244,411747.95999999973,147914.66299999997,263833.2969999998
2021-01-29,203,322051.8800000003,141190.69900000002,180861.18100000027
2021-01-30,148,221388.02000000002,103616.188,117771.83200000002
2021-01-31,110,171209.08000000002,47860.475000000006,123348.60500000001
2021-02-01,240,432743.7599999997,136204.016,296539.7439999997
2021-02-02,319,552588.64,113505.288,439083.352
2021-02-03,210,329722.8099999999,110483.38599999998,219239.42399999988
2021-02-04,307,528739.01,171008.81199999998,357730.19800000003
2021-02-05,219,335167.8299999999,118018.61500000002,217149.21499999988
2021-02-06,118,189999.45,52373.022000000004,137626.428
2021-02-07,80,129509.03000000001,31627.946999999996,97881.08300000001
2021-02-08,283,468397.38000000006,166687.79400000005,301709.586
2021-02-09,337,600766.8500000002,188172.49100000004,412594.3590000002
2021-02-10,282,450457.50999999995,151070.47800000003,299387.0319999999
2021-02-11,211,334495.4900000001,99142.316,235353.17400000012
2021-02-12,304,446158.2299999999,124227.40200000002,321930.8279999999
2021-02-13,133,207150.02000000002,63385.179,143764.84100000001
2021-02-14,111,161481.53,30877.743,130603.787
2021-02-15,295,503865.85000000027,186188.27500000002,317677.57500000024
2021-02-16,266,423474.9800000002,173432.84399999992,250042.1360000003
2021-02-17,269,448930.49999999994,154536.69400000002,294393.8059999999
2021-02-18,263,407841.39999999973,163473.54400000005,244367.85599999968
2021-02-19,242,393222.8899999998,123211.608,270011.2819999998
2021-02-20,121,164936.84000000003,49065.99100000001,115870.84900000002
2021-02-21,111,165419.68999999994,30243.239,135176.45099999994
2021-02-22,336,620905.7100000003,171491.56700000004,449414.1430000003
2021-02-23,253,439207.88999999996,178267.7390000001,260940.15099999987
2021-02-24,248,456565.73000000004,119160.95100000002,337404.77900000004
2021-02-25,319,569191.9800000001,170076.04899999997,399115.9310000001
2021-02-26,283,478841.81,144034.631,334807.179
2021-02-27,160,269000.0799999999,90205.323,178794.7569999999
2021-02-28,140,198349.49000000002,59241.338,139108.152
2021-03-01,317,520245.0100000004,160333.61500000002,359911.39500000037
2021-03-02,274,470729.23000000016,180200.618,290528.6120000002
