Date,Good,Bad,Good_rate,Bad_rate
2021-01-01,14,0,1,0
2021-01-02,116,6,0.9508196721311475,0.04918032786885246
2021-01-03,96,1,0.9896907216494846,0.010309278350515464
2021-01-04,326,17,0.9504373177842566,0.04956268221574344
2021-01-05,240,10,0.96,0.04
2021-01-06,232,13,0.9469387755102041,0.053061224489795916
2021-01-07,249,9,0.9651162790697675,0.03488372093023256
2021-01-08,182,6,0.9680851063829787,0.031914893617021274
2021-01-09,109,5,0.956140350877193,0.043859649122807015
2021-01-10,77,2,0.9746835443037974,0.02531645569620253
2021-01-11,264,11,0.96,0.04
2021-01-12,235,15,0.94,0.06
2021-01-13,247,9,0.96484375,0.03515625
2021-01-14,212,6,0.9724770642201835,0.027522935779816515
2021-01-15,188,9,0.9543147208121827,0.04568527918781726
2021-01-16,118,1,0.9915966386554622,0.008403361344537815
2021-01-17,105,1,0.9905660377358491,0.009433962264150943
2021-01-18,255,6,0.9770114942528736,0.022988505747126436
2021-01-19,330,17,0.9510086455331412,0.04899135446685879
2021-01-20,237,20,0.9221789883268483,0.07782101167315175
2021-01-21,223,13,0.9449152542372882,0.05508474576271186
2021-01-22,220,16,0.9322033898305084,0.06779661016949153
2021-01-23,99,8,0.9252336448598131,0.07476635514018691
2021-01-24,93,2,0.9789473684210527,0.021052631578947368
2021-01-25,263,9,0.9669117647058824,0.03308823529411765
2021-01-26,242,3,0.9877551020408163,0.012244897959183673
2021-01-27,221,13,0.9444444444444444,0.05555555555555555
2021-01-28,236,8,0.9672131147540983,0.03278688524590164
2021-01-29,193,10,0.9507389162561576,0.04926108374384237
2021-01-30,143,5,0.9662162162162162,0.033783783783783786
2021-01-31,106,4,0.9636363636363636,0.03636363636363636
2021-02-01,231,9,0.9625,0.0375
2021-02-02,311,8,0.9749216300940439,0.025078369905956112
2021-02-03,203,7,0.9666666666666667,0.03333333333333333
2021-02-04,297,10,0.9674267100977199,0.03257328990228013
2021-02-05,211,8,0.9634703196347032,0.0365296803652968
2021-02-06,118,0,1,0
2021-02-07,78,2,0.975,0.025
2021-02-08,270,13,0.9540636042402827,0.045936395759717315
2021-02-09,325,12,0.9643916913946587,0.03560830860534125
2021-02-10,269,13,0.9539007092198581,0.04609929078014184
2021-02-11,206,5,0.976303317535545,0.023696682464454975
2021-02-12,297,7,0.9769736842105263,0.023026315789473683
2021-02-13,130,3,0.9774436090225563,0.022556390977443608
2021-02-14,110,1,0.990990990990991,0.009009009009009009
2021-02-15,276,19,0.9355932203389831,0.06440677966101695
2021-02-16,253,13,0.9511278195488722,0.04887218045112782
2021-02-17,257,12,0.9553903345724907,0.04460966542750929
2021-02-18,252,11,0.9581749049429658,0.04182509505703422
2021-02-19,231,11,0.9545454545454546,0.045454545454545456
2021-02-20,116,5,0.9586776859504132,0.04132231404958678
2021-02-21,107,4,0.963963963963964,0.036036036036036036
2021-02-22,322,14,0.9583333333333334,0.041666666666666664
2021-02-23,240,13,0.9486166007905138,0.05138339920948617
2021-02-24,240,8,0.967741935483871,0.03225806451612903
2021-02-25,312,7,0.9780564263322884,0.0219435736677116
2021-02-26,273,10,0.9646643109540636,0.0353356890459364
2021-02-27,153,7,0.95625,0.04375
2021-02-28,138,2,0.9857142857142858,0.014285714285714285
2021-03-01,306,11,0.9652996845425867,0.03470031545741325
2021-03-02,268,6,0.9781021897810219,0.021897810218978103
2021-03-03,153,6,0.9622641509433962,0.03773584905660377
2021-03-04,297,15,0.9519230769230769,0.04807692307692308
2021-03-05,236,10,0.959349593495935,0.04065040650406504
2021-03-06,157,9,0.9457831325301205,0.05421686746987952
2021-03-07,120,3,0.975609756097561,0.024390243902439025
2021-03-08,276,9,0.968421052631579,0.031578947368421054
2021-03-09,246,15,0.9425287356321839,0.05747126436781609
2021-03-10,237,10,0.9595141700404858,0.04048582995951417
2021-03-11,241,9,0.964,0.036
2021-03-12,215,8,0.9641255605381166,0.03587443946188341
2021-03-13,128,2,0.9846153846153847,0.015384615384615385
2021-03-14,75,1,0.9868421052631579,0.013157894736842105
2021-03-15,267,10,0.9638989169675091,0.036101083032490974
2021-03-16,292,10,0.9668874172185431,0.033112582781456956
2021-03-17,285,13,0.9563758389261745,0.0436241610738255
2021-03-18,260,15,0.9454545454545454,0.05454545454545454
2021-03-19,274,12,0.958041958041958,0.04195804195804196
2021-03-20,171,7,0.9606741573033708,0.03932584269662921
2021-03-21,95,4,0.9595959595959596,0.04040404040404041
2021-03-22,298,9,0.9706840390879479,0.029315960912052116
2021-03-23,299,12,0.9614147909967846,0.03858520900321544
2021-03-24,275,5,0.9821428571428571,0.017857142857142856
2021-03-25,251,7,0.9728682170542635,0.027131782945736434
2021-03-26,244,11,0.9568627450980393,0.043137254901960784
2021-03-27,136,6,0.9577464788732394,0.04225352112676056
2021-03-28,100,1,0.9900990099009901,0.009900990099009901
2021-03-29,268,11,0.9605734767025089,0.03942652329749104
2021-03-30,234,8,0.9669421487603306,0.03305785123966942
2021-03-31,212,11,0.9506726457399103,0.04932735426008968
2021-04-01,190,13,0.9359605911330049,0.06403940886699508
2021-04-02,209,9,0.9587155963302753,0.04128440366972477
2021-04-03,120,4,0.967741935483871,0.03225806451612903
2021-04-04,69,3,0.9583333333333334,0.041666666666666664
2021-04-05,245,10,0.9607843137254902,0.0392156862745098
2021-04-06,226,13,0.9456066945606695,0.05439330543933055
2021-04-07,224,7,0.9696969696969697,0.030303030303030304
2021-04-08,224,7,0.9696969696969697,0.030303030303030304
2021-04-09,222,15,0.9367088607594937,0.06329113924050633
2021-04-10,139,3,0.9788732394366197,0.02112676056338028
2021-04-11,120,3,0.975609756097561,0.024390243902439025
2021-04-12,274,10,0.9647887323943662,0.035211267605633804
2021-04-13,227,5,0.978448275862069,0.021551724137931036
2021-04-14,267,10,0.9638989169675091,0.036101083032490974
2021-04-15,239,8,0.9676113360323887,0.032388663967611336
2021-04-16,258,9,0.9662921348314607,0.033707865168539325
2021-04-17,136,6,0.9577464788732394,0.04225352112676056
2021-04-18,116,5,0.9586776859504132,0.04132231404958678
2021-04-19,284,12,0.9594594594594594,0.04054054054054054
2021-04-20,271,10,0.9644128113879004,0.03558718861209965
2021-04-21,274,14,0.9513888888888888,0.04861111111111111
2021-04-22,222,9,0.961038961038961,0.03896103896103896
2021-04-23,260,11,0.959409594095941,0.04059040590405904
2021-04-24,136,7,0.951048951048951,0.04895104895104895
2021-04-25,136,2,0.9855072463768116,0.014492753623188406
2021-04-26,308,15,0.9535603715170279,0.04643962848297214
2021-04-27,331,13,0.9622093023255814,0.0377906976744186
2021-04-28,255,9,0.9659090909090909,0.03409090909090909
2021-04-29,300,3,0.9900990099009901,0.009900990099009901
2021-04-30,139,2,0.9858156028368794,0.014184397163120567
2021-05-01,106,5,0.954954954954955,0.04504504504504504
2021-05-02,41,1,0.9761904761904762,0.023809523809523808
2021-05-03,141,4,0.9724137931034482,0.027586206896551724
2021-05-04,150,3,0.9803921568627451,0.0196078431372549
2021-05-05,302,8,0.9741935483870968,0.025806451612903226
2021-05-06,121,3,0.9758064516129032,0.024193548387096774
2021-05-07,295,12,0.9609120521172638,0.03908794788273615
2021-05-08,150,4,0.974025974025974,0.025974025974025976
2021-05-09,103,5,0.9537037037037037,0.046296296296296294
2021-05-10,301,14,0.9555555555555556,0.044444444444444446
2021-05-11,241,17,0.9341085271317829,0.06589147286821706
2021-05-12,242,11,0.9565217391304348,0.043478260869565216
2021-05-13,270,11,0.9608540925266904,0.03914590747330961
2021-05-14,230,7,0.9704641350210971,0.029535864978902954
2021-05-15,138,3,0.9787234042553191,0.02127659574468085
2021-05-16,106,4,0.9636363636363636,0.03636363636363636
2021-05-17,309,11,0.965625,0.034375
2021-05-18,263,9,0.9669117647058824,0.03308823529411765
2021-05-19,300,10,0.967741935483871,0.03225806451612903
2021-05-20,268,7,0.9745454545454545,0.025454545454545455
2021-05-21,251,15,0.943609022556391,0.05639097744360902
2021-05-22,153,5,0.9683544303797469,0.03164556962025317
2021-05-23,91,1,0.9891304347826086,0.010869565217391304
2021-05-24,130,4,0.9701492537313433,0.029850746268656716
2021-05-25,273,11,0.9612676056338029,0.03873239436619718
2021-05-26,228,10,0.957983193277311,0.04201680672268908
2021-05-27,322,10,0.9698795180722891,0.030120481927710843
2021-05-28,295,17,0.9455128205128205,0.05448717948717949
2021-05-29,149,9,0.9430379746835443,0.056962025316455694
2021-05-30,114,2,0.9827586206896551,0.017241379310344827
2021-05-31,308,17,0.9476923076923077,0.052307692307692305
2021-06-01,250,17,0.9363295880149812,0.06367041198501873
2021-06-02,284,6,0.9793103448275862,0.020689655172413793
2021-06-03,235,6,0.975103734439834,0.024896265560165973
2021-06-04,204,11,0.9488372093023256,0.05116279069767442
2021-06-05,137,10,0.9319727891156463,0.06802721088435375
